"","sci_name","presence","origin","seasonal","compiler","yrcompiled","citation","dec_lat","dec_long","spatialref","subspecies","subpop","data_sens","sens_comm","event_year","source","basisOfRecord","catalogNumber","recordedBy","recordNumber","dist_comm","tax_comm"
"89","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-6.5,36.366667,"WGS84",NA,NA,NA,NA,1988,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280672","PRESERVED_SPECIMEN","WAG.1280672","Bidgood GS; Mwasumbi LB; Vollesen KB","Botany",NA,NA
"90","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-7.75,34.83333,"WGS84",NA,NA,NA,NA,1987,"urn:catalog:MO:Tropicos:503452","PRESERVED_SPECIMEN","503452","J.C. Lovett","Tropicos",NA,NA
"91","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-7.66666,36.25,"WGS84",NA,NA,NA,NA,1987,"urn:catalog:MO:Tropicos:503646","PRESERVED_SPECIMEN","503646","J.C. Lovett|T.C.E. Congdon","Tropicos",NA,NA
"92","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-7.666667,35.166667,"WGS84",NA,NA,NA,NA,1987,"urn:catalog:MO:Tropicos:504390","PRESERVED_SPECIMEN","504390","J.C. Lovett|J.M. Lovett|J. Hanby|D. Bygott","Tropicos",NA,NA
"93","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.35,37.45,"WGS84",NA,NA,NA,NA,1986,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280660","PRESERVED_SPECIMEN","WAG.1280660","Schultka W","Botany",NA,NA
"94","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-7.4,36.5,"WGS84",NA,NA,NA,NA,1986,"urn:catalog:MO:Tropicos:100994931","PRESERVED_SPECIMEN","100994931","G. Sally Bidgood|J.M. Lovett","Tropicos",NA,NA
"95","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-4.545278,38.43927,"WGS84",NA,NA,NA,NA,1986,"TanBIF:TAFORI-LSRC:ACANTH:SSH:362","PRESERVED_SPECIMEN","ACANTH:SSH:362","S. Shabani","ACANTHACEAE",NA,NA
"96","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,16.8,53.433333,"WGS84",NA,NA,NA,NA,1984,"http://data.rbge.org.uk/herb/E00674984","PRESERVED_SPECIMEN","E00674984","Miller, Anthony G.","E",NA,NA
"97","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,1.033333,35,"WGS84",NA,NA,NA,NA,1984,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280661","PRESERVED_SPECIMEN","WAG.1280661","Mungai GM","Botany",NA,NA
"98","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.809522,32.20976,"WGS84",NA,NA,NA,NA,1983,"TanBIF:TAFORI-LSRC:ACANTH:WCA:850","PRESERVED_SPECIMEN","ACANTH:WCA:850","W. Carmichael","ACANTHACEAE",NA,NA
"99","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.6125,30.221666,"WGS84",NA,NA,NA,NA,1982,"http://www.botanicalcollections.be/specimen/BR0000008561244","PRESERVED_SPECIMEN","BR0000008561244","Aubroeck M.","BR",NA,NA
"100","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.6125,30.221666,"WGS84",NA,NA,NA,NA,1982,"http://www.botanicalcollections.be/specimen/BR0000008561367","PRESERVED_SPECIMEN","BR0000008561367","Aubroeck M.","BR",NA,NA
